Team,Year,GP,P,ROW,GF,Ave Salary,Salary Variation,Full Team Name,RawGini,Gini2,RosterSize,OrtegaGamma,Atkinson
NSH,2022,82,92,36,223,2661060.82,2751440.44,Nashville Predators,0.5018,0.25180324,28,1.1087,0.2069
NJD,2022,82,112,50,289,3276825.27,2419989.03,New Jersey Devils,0.4055,0.16443025,26,0.5672,0.136
NYI,2022,82,93,41,242,3235576.92,2199234.14,New York Islanders,0.3813,0.14538969,26,0.4805,0.1281
NYR,2022,82,107,43,273,3864214.28,3504282.95,New York Rangers,0.4852,0.23541904,25,0.8567,0.1973
OTT,2022,82,86,37,259,2948928.6,2555723.09,Ottawa Senators,0.4563,0.20820969,25,0.7824,0.1702
PHI,2022,82,75,29,220,3421007.6,2480601.9,Philadelphia Flyers,0.4032,0.16257024,25,0.5477,0.1469
PIT,2022,82,91,39,261,3464590.62,2268627.45,Pittsburgh Penguins,0.3687,0.13593969,24,0.4474,0.1215
SJS,2022,82,60,21,233,2851153.85,2754191.67,San Jose Sharks,0.4679,0.21893041,26,0.9705,0.1738
SEA,2022,82,100,46,289,3070256.38,1888304.28,Seattle Kraken,0.3475,0.12075625,26,0.3934,0.112
STL,2022,82,81,34,260,3160797.09,2266932.36,St. Louis Blues,0.3994,0.15952036,23,0.5378,0.1428
TBL,2022,82,98,43,280,3591354.17,3210427.02,Tampa Bay Lightning,0.4759,0.22648081,24,0.8339,0.1919
TOR,2022,82,111,49,278,3458807.34,3423472.54,Toronto Maple Leafs,0.5048,0.25482304,29,1.0147,0.2081
VAN,2022,82,83,32,270,3041681.03,2469161.14,Vancouver Canucks,0.4411,0.19456921,29,0.6825,0.1656
VGK,2022,82,111,46,267,3417528.14,2611455.69,Vegas Golden Knights,0.4042,0.16337764,29,0.6048,0.1309
WPG,2022,82,95,45,246,3203068.74,2498568.3,Winnipeg Jets,0.4258,0.18130564,27,0.6319,0.1626
ANA,2021,82,76,27,228,2005157.04,1860871.19,Anaheim Ducks,0.4389,0.19263321,26,0.8957,0.1569
ARI,2021,82,57,24,206,2605080.82,2267641.26,Arizona Coyotes,0.4549,0.20693401,33,0.7814,0.1765
BOS,2021,82,107,49,253,2823848.58,2039182.51,Boston Bruins,0.3992,0.15936064,31,0.5389,0.1331
BUF,2021,82,75,29,229,2273222.2,2105250.37,Buffalo Sabres,0.4532,0.20539024,30,0.8873,0.164
CGY,2021,82,111,48,291,3190219.11,2210808.69,Calgary Flames,0.388,0.150544,27,0.4987,0.1361
CAR,2021,82,116,53,277,3572411.4,2294071.59,Carolina Hurricanes,0.3606,0.13003236,25,0.4296,0.1159
CHI,2021,82,68,22,213,3014062.5,2869146.43,Chicago Blackhawks,0.4774,0.22791076,24,0.9455,0.1899
COL,2021,82,119,52,308,3122172.61,2553172.55,Colorado Avalanche,0.4392,0.19289664,28,0.6935,0.159
CBJ,2021,82,81,33,258,2357306.1,2087612.47,Columbus Blue Jackets,0.443,0.196249,29,0.8123,0.1549
DAL,2021,82,98,41,233,3178240.74,2806300.99,Dallas Stars,0.4623,0.21372129,27,0.8096,0.1699
DET,2021,82,74,29,227,2073247.14,1641273.03,Detroit Red Wings,0.411,0.168921,29,0.6491,0.136
EDM,2021,82,104,44,285,3306466.32,2730371.69,Edmonton Oilers,0.4169,0.17380561,25,0.7103,0.1384
FLA,2021,82,122,55,337,2977347.2,2569213.76,Florida Panthers,0.453,0.205209,30,0.7703,0.1652
LAK,2021,82,99,40,235,2713556.93,2636183.68,Los Angeles Kings,0.4717,0.22250089,30,0.9763,0.1775
MIN,2021,82,113,48,305,3323888.83,2545755.2,Minnesota Wild,0.4211,0.17732521,24,0.6121,0.1494
MTL,2021,82,55,19,218,2750179.67,2559863.73,Montreal Canadiens,0.4737,0.22439169,30,0.8963,0.1862
NSH,2021,82,97,41,262,2552212.74,2521663.79,Nashville Predators,0.4865,0.23668225,27,1.0138,0.1898
NJD,2021,82,63,24,245,2324921.84,2281303.37,New Jersey Devils,0.4628,0.21418384,32,0.9939,0.1721
NYI,2021,82,84,35,229,3038233.36,2227222.05,New York Islanders,0.4042,0.16337764,25,0.5598,0.1478
NYR,2021,82,110,48,250,2759326.71,2583709.91,New York Rangers,0.4585,0.21022225,28,0.9092,0.1654
OTT,2021,82,73,30,224,2326772.47,2168234.86,Ottawa Senators,0.4546,0.20666116,30,0.8983,0.1653
PHI,2021,82,61,24,210,2760155.57,2345176.29,Philadelphia Flyers,0.45,0.2025,28,0.7486,0.1754
PIT,2021,82,103,43,269,3482493.84,2493221.7,Pittsburgh Penguins,0.3944,0.15555136,25,0.5339,0.1319
SJS,2021,82,77,29,211,2474973.1,2803823.69,San Jose Sharks,0.5167,0.26697889,31,1.3262,0.2212
SEA,2021,82,60,24,213,2844928.79,1832740.58,Seattle Kraken,0.3598,0.12945604,24,0.4331,0.1215
STL,2021,82,109,47,309,3417500,2471558.21,St. Louis Blues,0.4043,0.16345849,25,0.5448,0.1491
TBL,2021,82,110,49,285,4037500,3084369.96,Tampa Bay Lightning,0.4231,0.17901361,22,0.6114,0.1588
TOR,2021,82,115,51,312,3305856.15,3369157.67,Toronto Maple Leafs,0.5069,0.25694761,27,1.0786,0.2074
VAN,2021,82,92,37,246,2647118.06,2431713.57,Vancouver Canucks,0.4732,0.22391824,32,0.8711,0.1861
VGK,2021,82,94,39,262,3388179.04,2910077.7,Vegas Golden Knights,0.4599,0.21150801,27,0.7661,0.18
WPG,2021,82,89,37,250,3370987.08,2513183.29,Winnipeg Jets,0.4124,0.17007376,24,0.58,0.1561
ANA,2020,56,43,15,124,2994444.41,2384663.79,Anaheim Ducks,0.4304,0.18524416,27,0.6586,0.1547
ARI,2020,56,54,21,150,2828649.41,2370974.53,Arizona Coyotes,0.4472,0.19998784,29,0.7277,0.1713
BOS,2020,56,73,29,164,2675434.06,2336811.12,Boston Bruins,0.4573,0.20912329,34,0.786,0.1683
BUF,2020,56,37,11,134,2424826.1,2448330.28,Buffalo Sabres,0.4806,0.23097636,29,1.0559,0.1839
CGY,2020,56,55,25,155,3019615.35,2453758.84,Calgary Flames,0.4396,0.19324816,26,0.6867,0.1803
CAR,2020,56,80,32,175,2907293.15,2170866.08,Carolina Hurricanes,0.4092,0.16744464,27,0.579,0.1419
CHI,2020,56,55,22,159,2437030.49,2575023.21,Chicago Blackhawks,0.4833,0.23357889,37,1.1475,0.195
COL,2020,56,82,39,197,2718920.54,2168572.81,Colorado Avalanche,0.4266,0.18198756,35,0.6549,0.1509
CBJ,2020,56,48,15,134,2395566.97,1983488.67,Columbus Blue Jackets,0.4357,0.18983449,31,0.7084,0.1548
DAL,2020,56,60,21,156,2752096.74,2525534.15,Dallas Stars,0.4638,0.21511044,31,0.8702,0.1706
DET,2020,56,48,17,125,2511694.86,1771719.62,Detroit Red Wings,0.3841,0.14753281,28,0.516,0.12
EDM,2020,56,72,35,183,2512652.31,2589557.83,Edmonton Oilers,0.4789,0.22934521,35,1.0934,0.1836
FLA,2020,56,79,36,188,2296559.49,2305280.35,Florida Panthers,0.4781,0.22857961,35,1.0372,0.1831
LAK,2020,56,49,20,142,2036927,2560310.22,Los Angeles Kings,0.5007,0.25070049,32,1.6309,0.2151
MIN,2020,56,75,34,180,3032777,2273909.1,Minnesota Wild,0.4131,0.17065161,28,0.583,0.1468
MTL,2020,56,59,23,158,2892461.55,2357355.5,Montreal Canadiens,0.4254,0.18096516,31,0.6864,0.1511
NSH,2020,56,64,26,151,2561657.91,2383667.19,Nashville Predators,0.4683,0.21930489,34,0.8921,0.1735
NJD,2020,56,45,19,145,2221498.2,2132941.41,New Jersey Devils,0.4578,0.20958084,25,0.9603,0.1696
NYI,2020,56,71,28,152,3304416.67,2169675.6,New York Islanders,0.3692,0.13630864,30,0.446,0.1226
NYR,2020,56,60,26,176,1958988.05,2346759.46,New York Rangers,0.4719,0.22268961,40,1.4719,0.201
OTT,2020,56,51,21,155,2086360.24,2041169.08,Ottawa Senators,0.467,0.218089,34,0.9862,0.1818
PHI,2020,56,58,22,160,2877606.56,2550443.62,Philadelphia Flyers,0.4654,0.21659716,27,0.8158,0.1754
PIT,2020,56,77,34,193,2625134.35,2464671.52,Pittsburgh Penguins,0.4766,0.22714756,34,0.9082,0.1856
SJS,2020,56,49,16,146,2592426.44,2880427.44,San Jose Sharks,0.524,0.274576,34,1.2719,0.231
STL,2020,56,63,25,167,2636306.27,2294313.28,St. Louis Blues,0.4575,0.20930625,37,0.7784,0.1722
TBL,2020,56,75,35,180,3350781.22,2869991.19,Tampa Bay Lightning,0.463,0.214369,32,0.7573,0.1858
TOR,2020,56,77,34,186,3041372.12,3161742.99,Toronto Maple Leafs,0.5084,0.25847056,32,1.1156,0.2067
VAN,2020,56,50,20,148,2225801.54,1937941.9,Vancouver Canucks,0.4441,0.19722481,35,0.7804,0.1647
VGK,2020,56,82,39,190,3245771.63,2654881.02,Vegas Golden Knights,0.4436,0.19678096,27,0.6948,0.1642
WPG,2020,56,63,30,170,2839775,2413688.38,Winnipeg Jets,0.4535,0.20566225,31,0.7465,0.1721
ANA,2019,71,67,24,182,3259303.75,2438284.02,Anaheim Ducks,0.4144,0.17172736,24,0.584,0.1516
ARI,2019,70,74,28,190,3594651,2263330.66,Arizona Coyotes,0.3548,0.12588304,24,0.4137,0.1147
BOS,2019,70,100,44,227,2958056.96,2248540.97,Boston Bruins,0.4113,0.16916769,25,0.6019,0.137
BUF,2019,69,68,28,193,3172200,2436311.9,Buffalo Sabres,0.4043,0.16345849,25,0.6144,0.1316
CGY,2019,70,79,30,204,3163252.32,2247357.4,Calgary Flames,0.399,0.159201,25,0.5258,0.1396
CAR,2019,68,81,33,217,3590826.09,2028850.19,Carolina Hurricanes,0.3178,0.10099684,23,0.3337,0.0945
CHI,2019,70,72,28,208,2954510.89,2897755.38,Chicago Blackhawks,0.4882,0.23833924,27,0.9989,0.1986
COL,2019,70,92,41,236,2907106.19,2126495.08,Colorado Avalanche,0.3934,0.15476356,26,0.5565,0.1269
CBJ,2019,70,81,33,180,2495641.1,1896971.63,Columbus Blue Jackets,0.4092,0.16744464,31,0.597,0.1395
DAL,2019,69,82,35,178,3324652.79,2617765.5,Dallas Stars,0.4143,0.17164449,24,0.6469,0.1361
DET,2019,71,39,14,142,2526480.25,1741367.16,Detroit Red Wings,0.3797,0.14417209,28,0.4927,0.121
EDM,2019,71,83,35,223,2948932.04,2770503.37,Edmonton Oilers,0.4647,0.21594609,27,0.9166,0.1728
FLA,2019,69,78,32,228,3223020.75,2574583.22,Florida Panthers,0.4344,0.18870336,24,0.6658,0.1577
LAK,2019,70,64,28,177,2553608.82,2999349.05,Los Angeles Kings,0.5329,0.28398241,22,1.4453,0.2338
MIN,2019,69,77,33,218,3450163.14,2161375.81,Minnesota Wild,0.3563,0.12694969,22,0.4111,0.1094
MTL,2019,71,71,27,208,3138281.52,2470477.59,Montreal Canadiens,0.4142,0.17156164,23,0.6479,0.1411
NSH,2019,69,78,32,212,3429670.09,2384264.81,Nashville Predators,0.3903,0.15233409,23,0.5053,0.1342
NJD,2019,69,68,24,185,2468636.32,2264803.28,New Jersey Devils,0.4658,0.21696964,22,0.8818,0.176
NYI,2019,68,80,32,189,2988132.14,1977578.83,New York Islanders,0.3723,0.13860729,29,0.4536,0.1169
NYR,2019,70,79,36,233,2246938.74,2619124.02,New York Rangers,0.4936,0.24364096,35,1.3987,0.2113
OTT,2019,71,62,24,190,2592930.56,1914179.59,Ottawa Senators,0.402,0.161604,27,0.5659,0.1343
PHI,2019,69,89,36,227,3195416.76,2641221.43,Philadelphia Flyers,0.4499,0.20241001,25,0.7117,0.1703
PIT,2019,69,86,37,221,3149087.96,2580802.74,Pittsburgh Penguins,0.442,0.195364,27,0.6975,0.1645
SJS,2019,70,63,27,180,2979358.96,3107829.9,San Jose Sharks,0.5171,0.26739241,26,1.1316,0.2262
STL,2019,71,94,40,223,3373397.38,2219408.78,St. Louis Blues,0.3709,0.13756681,26,0.4502,0.1228
TBL,2019,70,92,41,243,3277916.62,2814067.66,Tampa Bay Lightning,0.4598,0.21141604,24,0.7691,0.1755
TOR,2019,70,81,35,237,3612522.81,3288812.14,Toronto Maple Leafs,0.4758,0.22638564,27,0.8607,0.1917
VAN,2019,69,78,32,224,3064326.92,1907639.52,Vancouver Canucks,0.3516,0.12362256,26,0.403,0.1063
VGK,2019,71,86,36,224,3731521.74,2530791.01,Vegas Golden Knights,0.3798,0.14424804,23,0.4809,0.131
WPG,2019,71,80,34,213,2814098.52,2407100.87,Winnipeg Jets,0.4571,0.20894041,29,0.7578,0.1764
ANA,2018,82,80,32,196,3163825.73,2452665.68,Anaheim Ducks,0.42,0.1764,22,0.6296,0.1421
ARI,2018,82,86,35,209,2380287.31,1933145.67,Arizona Coyotes,0.4294,0.18438436,29,0.6831,0.1528
BOS,2018,82,107,47,257,3086666.64,2407811.45,Boston Bruins,0.4279,0.18309841,25,0.6339,0.1566
BUF,2018,82,76,28,221,3190584.41,2318066.94,Buffalo Sabres,0.3906,0.15256836,22,0.553,0.1259
CGY,2018,82,107,50,289,2860284.82,2212218.57,Calgary Flames,0.4243,0.18003049,28,0.6203,0.158
CAR,2018,82,99,44,243,2556268.09,1911632.16,Carolina Hurricanes,0.4057,0.16459249,23,0.5847,0.1383
