Team,Year,GP,P,ROW,Ave Salary,Salary Variation,Full Team Name,Gini,Gini2,RosterSize
TOR,2020,56,77,34,3041372.12,3161742.99,Toronto Maple Leafs,0.5084,0.25847056,32
VAN,2020,56,50,20,2225801.54,1937941.9,Vancouver Canucks,0.4441,0.19722481,35
VGK,2020,56,82,39,3245771.63,2654881.02,Vegas Golden Knights,0.4436,0.19678096,27
WPG,2020,56,63,30,2839775,2413688.38,Winnipeg Jets,0.4535,0.20566225,31
ANA,2019,71,67,24,3259303.75,2438284.02,Anaheim Ducks,0.4144,0.17172736,24
ARI,2019,70,74,28,3594651,2263330.66,Arizona Coyotes,0.3548,0.12588304,24
BOS,2019,70,100,44,2958056.96,2248540.97,Boston Bruins,0.4113,0.16916769,25
BUF,2019,69,68,28,3172200,2436311.9,Buffalo Sabres,0.4043,0.16345849,25
CGY,2019,70,79,30,3163252.32,2247357.4,Calgary Flames,0.399,0.159201,25
CAR,2019,68,81,33,3590826.09,2028850.19,Carolina Hurricanes,0.3178,0.10099684,23
CHI,2019,70,72,28,2954510.89,2897755.38,Chicago Blackhawks,0.4882,0.23833924,27
COL,2019,70,92,41,2907106.19,2126495.08,Colorado Avalanche,0.3934,0.15476356,26
CBJ,2019,70,81,33,2495641.1,1896971.63,Columbus Blue Jackets,0.4092,0.16744464,31
DAL,2019,69,82,35,3324652.79,2617765.5,Dallas Stars,0.4143,0.17164449,24
DET,2019,71,39,14,2526480.25,1741367.16,Detroit Red Wings,0.3797,0.14417209,28
EDM,2019,71,83,35,2948932.04,2770503.37,Edmonton Oilers,0.4647,0.21594609,27
FLA,2019,69,78,32,3223020.75,2574583.22,Florida Panthers,0.4344,0.18870336,24
LAK,2019,70,64,28,2553608.82,2999349.05,Los Angeles Kings,0.5329,0.28398241,22
MIN,2019,69,77,33,3450163.14,2161375.81,Minnesota Wild,0.3563,0.12694969,22
MTL,2019,71,71,27,3138281.52,2470477.59,Montreal Canadiens,0.4142,0.17156164,23
NSH,2019,69,78,32,3429670.09,2384264.81,Nashville Predators,0.3903,0.15233409,23
NJD,2019,69,68,24,2468636.32,2264803.28,New Jersey Devils,0.4658,0.21696964,22
NYI,2019,68,80,32,2988132.14,1977578.83,New York Islanders,0.3723,0.13860729,29
NYR,2019,70,79,36,2246938.74,2619124.02,New York Rangers,0.4936,0.24364096,35
OTT,2019,71,62,24,2592930.56,1914179.59,Ottawa Senators,0.402,0.161604,27
PHI,2019,69,89,36,3195416.76,2641221.43,Philadelphia Flyers,0.4499,0.20241001,25
PIT,2019,69,86,37,3149087.96,2580802.74,Pittsburgh Penguins,0.442,0.195364,27
SJS,2019,70,63,27,2979358.96,3107829.9,San Jose Sharks,0.5171,0.26739241,26
STL,2019,71,94,40,3373397.38,2219408.78,St. Louis Blues,0.3709,0.13756681,26
TBL,2019,70,92,41,3277916.62,2814067.66,Tampa Bay Lightning,0.4598,0.21141604,24
TOR,2019,70,81,35,3612522.81,3288812.14,Toronto Maple Leafs,0.4758,0.22638564,27
VAN,2019,69,78,32,3064326.92,1907639.52,Vancouver Canucks,0.3516,0.12362256,26
VGK,2019,71,86,36,3731521.74,2530791.01,Vegas Golden Knights,0.3798,0.14424804,23
WPG,2019,71,80,34,2814098.52,2407100.87,Winnipeg Jets,0.4571,0.20894041,29
ANA,2018,82,80,32,3163825.73,2452665.68,Anaheim Ducks,0.42,0.1764,22
ARI,2018,82,86,35,2380287.31,1933145.67,Arizona Coyotes,0.4294,0.18438436,29
BOS,2018,82,107,47,3086666.64,2407811.45,Boston Bruins,0.4279,0.18309841,25
BUF,2018,82,76,28,3190584.41,2318066.94,Buffalo Sabres,0.3906,0.15256836,22
CGY,2018,82,107,50,2860284.82,2212218.57,Calgary Flames,0.4243,0.18003049,28
CAR,2018,82,99,44,2556268.09,1911632.16,Carolina Hurricanes,0.4057,0.16459249,23
CHI,2018,82,84,33,3135440.3,3024167.51,Chicago Blackhawks,0.4895,0.23961025,23
COL,2018,82,90,36,3106357.12,2187217.36,Colorado Avalanche,0.393,0.154449,25
CBJ,2018,82,98,45,2786111.1,2099263.69,Columbus Blue Jackets,0.4109,0.16883881,30
DAL,2018,82,93,42,2991810.34,2209755.02,Dallas Stars,0.3947,0.15578809,29
DET,2018,82,74,29,3258974.08,1778569.23,Detroit Red Wings,0.3107,0.09653449,24
EDM,2018,82,79,32,3209561.57,2884699.56,Edmonton Oilers,0.4556,0.20757136,23
FLA,2018,82,86,33,3041413.04,2156859.82,Florida Panthers,0.3952,0.15618304,23
LAK,2018,82,71,28,2975200.46,2725661.67,Los Angeles Kings,0.4798,0.23020804,24
MIN,2018,82,83,36,2682734.19,2296407.4,Minnesota Wild,0.4548,0.20684304,26
MTL,2018,82,96,41,2550727.52,2436916.21,Montreal Canadiens,0.4653,0.21650409,27
NSH,2018,82,100,43,2760446.39,2310251.95,Nashville Predators,0.4472,0.19998784,28
NJD,2018,82,72,28,2359094.17,1972413.91,New Jersey Devils,0.4365,0.19053225,23
NYI,2018,82,103,43,2686698.69,1772538.76,New York Islanders,0.3703,0.13712209,26
NYR,2018,82,78,26,2675597.74,2314964.05,New York Rangers,0.4538,0.20593444,23
OTT,2018,82,64,29,2412765.14,1831086.57,Ottawa Senators,0.4039,0.16313521,22
PHI,2018,82,82,34,2728698.35,2425053.15,Philadelphia Flyers,0.4607,0.21224449,23
PIT,2018,82,100,42,3155466.64,2716622.47,Pittsburgh Penguins,0.4619,0.21335161,25
SJS,2018,82,101,46,3375277.79,2551299.6,San Jose Sharks,0.421,0.177241,24
STL,2018,82,99,42,3134871.73,2348538.17,St. Louis Blues,0.4161,0.17313921,26
TBL,2018,82,128,56,3210069.42,2359686.15,Tampa Bay Lightning,0.405,0.164025,24
TOR,2018,82,100,46,2783015.79,2759395.97,Toronto Maple Leafs,0.4882,0.23833924,29
VAN,2018,82,81,29,2203116.09,1588060.38,Vancouver Canucks,0.3847,0.14799409,33
VGK,2018,82,93,40,2906696.43,2055552.37,Vegas Golden Knights,0.3948,0.15586704,28
WPG,2018,82,99,45,3029697.48,2273249.4,Winnipeg Jets,0.4121,0.16982641,27
ANA,2017,82,101,40,2674226.18,2241448.91,Anaheim Ducks,0.4318,0.18645124,28
ARI,2017,82,70,27,2105277.67,1886998.32,Arizona Coyotes,0.447,0.199809,24
BOS,2017,82,112,47,2989683.28,2635155.75,Boston Bruins,0.4659,0.21706281,25
BUF,2017,82,62,24,2587479.3,2075378.51,Buffalo Sabres,0.4296,0.18455616,23
CGY,2017,82,84,35,2806152.54,2143076.74,Calgary Flames,0.4224,0.17842176,26
CAR,2017,82,83,33,2497874.95,1770892.57,Carolina Hurricanes,0.3894,0.15163236,20
CHI,2017,82,76,32,3172013.41,3173234.66,Chicago Blackhawks,0.5091,0.25918281,22
COL,2017,82,95,41,2387520.52,2208076.54,Colorado Avalanche,0.4654,0.21659716,29
CBJ,2017,82,97,39,2643505.3,2040353.6,Columbus Blue Jackets,0.4209,0.17715681,27
DAL,2017,82,92,38,3274393.95,2544256.99,Dallas Stars,0.4256,0.18113536,22
DET,2017,82,73,25,3018009.64,1975153.19,Detroit Red Wings,0.3664,0.13424896,22
EDM,2017,82,78,31,2510029.78,2254238.89,Edmonton Oilers,0.4607,0.21224449,23
FLA,2017,82,96,41,2767048.58,2110036.13,Florida Panthers,0.4176,0.17438976,24
LAK,2017,82,98,43,2861481.5,2561375.55,Los Angeles Kings,0.4697,0.22061809,26
MIN,2017,82,101,42,2652365.17,2278777.75,Minnesota Wild,0.4577,0.20948929,29
MTL,2017,82,71,27,2394473.38,2200477.18,Montreal Canadiens,0.4688,0.21977344,26
NSH,2017,82,117,47,2657048.58,2295452.11,Nashville Predators,0.4528,0.20502784,24
NJD,2017,82,97,39,2148787.11,1847996.14,New Jersey Devils,0.4408,0.19430464,35
NYI,2017,82,80,32,2802532.08,1848519.71,New York Islanders,0.3715,0.13801225,26
NYR,2017,82,77,31,2432066.64,2185797.38,New York Rangers,0.4582,0.20994724,25
OTT,2017,82,67,26,2937689.36,2046283.28,Ottawa Senators,0.3906,0.15256836,22
PHI,2017,82,98,40,2996932.68,2142220.7,Philadelphia Flyers,0.384,0.147456,25
PIT,2017,82,100,45,3231341.12,2699001.34,Pittsburgh Penguins,0.4535,0.20566225,24
SJS,2017,82,100,40,3048666.68,2247305.08,San Jose Sharks,0.4072,0.16581184,25
STL,2017,82,94,41,2732800,2237722.2,St. Louis Blues,0.4357,0.18983449,25
TBL,2017,82,113,48,2880555.56,2282405.67,Tampa Bay Lightning,0.4284,0.18352656,27
TOR,2017,82,105,42,2917403.85,1894000.27,Toronto Maple Leafs,0.3651,0.13329801,26
VAN,2017,82,73,31,2661664.63,2051223.36,Vancouver Canucks,0.421,0.177241,27
VGK,2017,82,109,47,2170156.22,1746890.05,Vegas Golden Knights,0.4261,0.18156121,32
WPG,2017,82,114,48,2569055.53,2219589.99,Winnipeg Jets,0.4536,0.20575296,30
ANA,2016,82,105,43,2826916.82,2298835.9,Anaheim Ducks,0.4316,0.18627856,28
ARI,2016,82,70,24,2205835.54,1767147.94,Arizona Coyotes,0.4168,0.17372224,28
BOS,2016,82,95,42,2658482.14,2318697.79,Boston Bruins,0.4567,0.20857489,28
BUF,2016,82,78,31,2758427.23,2057393.75,Buffalo Sabres,0.4089,0.16719921,26
CGY,2016,82,94,41,3012433.4,2054334.93,Calgary Flames,0.384,0.147456,25
CAR,2016,82,87,33,2126856.05,1737246.69,Carolina Hurricanes,0.4279,0.18309841,22
CHI,2016,82,109,46,2826158.77,2957448.16,Chicago Blackhawks,0.5165,0.26677225,26
COL,2016,82,48,21,2554224.24,2154513.81,Colorado Avalanche,0.4479,0.20061441,25
CBJ,2016,82,108,48,2525504.9,2129864.15,Columbus Blue Jackets,0.4495,0.20205025,29
DAL,2016,82,79,33,2754639.83,2188562.34,Dallas Stars,0.4306,0.18541636,23
DET,2016,82,79,24,3016030.91,1976681.5,Detroit Red Wings,0.3672,0.13483584,23
EDM,2016,82,103,43,2396499.93,1838161.73,Edmonton Oilers,0.4073,0.16589329,28
FLA,2016,82,81,30,2585347.21,1795994.95,Florida Panthers,0.3839,0.14737921,24
